Category,Quantity,Symbol,Unit,Unit description,Measurement frequency,Safe level,Reference,Sensor,URL
Air quality,Nitrogen dioxide,NO2,ug/m3,microgrammes per cubic metre,Hourly,200,https://uk-air.defra.gov.uk/air-pollution/daqi?view=more-info&pollutant=no2#pollutant,Airly,https://airly.org/en/features/air-quality-sensors/
,Sulphur dioxide,SO2,ug/m3,microgrammes per cubic metre,Hourly,266,https://uk-air.defra.gov.uk/air-pollution/daqi?view=more-info&pollutant=so2#pollutant,Airly,https://airly.org/en/features/air-quality-sensors/
,Particulate matter <= 2.5 microns in diameter,PM2.5,ug/m3,microgrammes per cubic metre,Hourly,35,https://www.gov.uk/government/statistics/air-quality-statistics/concentrations-of-particulate-matter-pm10-and-pm25,Airly,https://airly.org/en/features/air-quality-sensors/
,Particulate matter <= 10 microns in diameter,PM10,ug/m3,microgrammes per cubic metre,Hourly,50,https://www.gov.uk/government/statistics/air-quality-statistics/concentrations-of-particulate-matter-pm10-and-pm25,Airly,https://airly.org/en/features/air-quality-sensors/
Water quality,Nitrite,-NO3,mg/l,milligrammes per litre,Hourly,3,https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/nitrate-and-nitrite-fact-sheet-2022.pdf?sfvrsn=a65406e9_2&download=true,ClearWater,https://clearwatersensors.com/nitrate-sensor.html
,Nitrate,-NO2,mg/l,milligrammes per litre,Hourly,50,https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/nitrate-and-nitrite-fact-sheet-2022.pdf?sfvrsn=a65406e9_2&download=true,ClearWater,https://clearwatersensors.com/nitrate-sensor.html
,Phosphate,-PO4,mg/l,milligrammes per litre,Hourly,0.1,https://assets.publishing.service.gov.uk/media/5a7b1f23ed915d3ed90624fc/defra-stats-observatory-indicators-da3-120224.pdf,ClearWater,https://clearwatersensors.com/phosphate-sensor.html
,Escherichia coli ,EC,cfu/100ml,Colony forming units (cfu) per 100ml ,Daily,500,https://environment.data.gov.uk/bwq/profiles/help-understanding-data.html,ALERT,https://www.digital-water.city/solution/sensors-for-real-time-in-situ-e-coli-and-enterococci-measurements/
,Intestinal enterococci ,IE,cfu/100ml,Colony forming units (cfu) per 100ml ,Daily,185,https://environment.data.gov.uk/bwq/profiles/help-understanding-data.html,ALERT,https://www.digital-water.city/solution/sensors-for-real-time-in-situ-e-coli-and-enterococci-measurements/
Weather,Air temperature,T,C,Degrees Celcius,Hourly,,,Netvox R712,https://www.alliot.co.uk/product/netvox-outdoor-temperature-and-humidity-sensor/
,Humidity,H,%,Percentage,Hourly,,,Netvox R712,https://www.alliot.co.uk/product/netvox-outdoor-temperature-and-humidity-sensor/
,Wind speed,WS,m/s,Metres per second,Hourly,,,Vaisala WM80,https://www.vaisala.com/en/products/ultrasonic-wind-sensor-wm80
,Wind direction,WD,degree,Degrees from north,Hourly,,,Vaisala WM80,https://www.vaisala.com/en/products/ultrasonic-wind-sensor-wm80
