latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
55.008785,-3.5856323,8,0,GMT,GMT
,,,,,
time,temperature_2m (¬?C),relative_humidity_2m (%),wind_speed_10m (m/s),wind_direction_10m (¬?),
2025-02-01T00:00,0.6,98,1.18,78,
2025-02-01T01:00,2.4,96,0.93,106,
2025-02-01T02:00,2.5,97,1.08,103,
2025-02-01T03:00,2.4,97,1.53,142,
2025-02-01T04:00,1.9,96,2.15,179,
2025-02-01T05:00,3.1,93,3.35,179,
2025-02-01T06:00,3.5,93,3.65,178,
2025-02-01T07:00,3.5,94,3.46,169,
2025-02-01T08:00,3.3,93,3.38,161,
2025-02-01T09:00,3,95,3.36,152,
2025-02-01T10:00,4,93,3.61,158,
2025-02-01T11:00,5.5,85,4.29,165,
2025-02-01T12:00,5.9,82,4.63,174,
2025-02-01T13:00,6.5,80,5.5,182,
2025-02-01T14:00,6.5,80,5.4,182,
2025-02-01T15:00,6.2,80,4.96,183,
2025-02-01T16:00,5.7,82,5.1,179,
2025-02-01T17:00,5.5,82,4.94,172,
2025-02-01T18:00,5.7,79,4.88,169,
2025-02-01T19:00,5.6,78,4.83,170,
2025-02-01T20:00,5.5,79,4.78,174,
2025-02-01T21:00,5.5,80,5.36,171,
2025-02-01T22:00,5.5,79,5.66,171,
2025-02-01T23:00,5.4,80,5.27,171,
2025-02-02T00:00,5.2,83,5.63,174,
2025-02-02T01:00,5,80,4.91,168,
2025-02-02T02:00,4.9,82,5.52,171,
2025-02-02T03:00,4.9,86,4.73,170,
2025-02-02T04:00,5,88,5.04,173,
2025-02-02T05:00,5.4,85,5.2,172,
2025-02-02T06:00,5.2,86,4.82,167,
2025-02-02T07:00,4.7,95,3.94,165,
2025-02-02T08:00,4.6,96,3.35,160,
2025-02-02T09:00,4.5,96,3.15,162,
2025-02-02T10:00,4.6,96,3.81,175,
2025-02-02T11:00,4.7,96,4.25,177,
2025-02-02T12:00,5.2,92,4.51,177,
2025-02-02T13:00,5.8,91,5.25,194,
2025-02-02T14:00,5.9,91,4.86,197,
2025-02-02T15:00,6.2,89,5.03,201,
2025-02-02T16:00,6,92,5.08,197,
2025-02-02T17:00,6.1,94,5.12,199,
2025-02-02T18:00,6.2,95,4.85,194,
2025-02-02T19:00,6.2,95,5.03,190,
2025-02-02T20:00,6.4,95,4.99,191,
2025-02-02T21:00,6.5,96,4.79,194,
2025-02-02T22:00,6.7,97,4.65,197,
2025-02-02T23:00,6.8,98,4.16,207,
2025-02-03T00:00,7,97,3.99,204,
2025-02-03T01:00,7,97,3.91,201,
2025-02-03T02:00,7.1,97,4.76,199,
2025-02-03T03:00,7.2,97,5.16,202,
2025-02-03T04:00,7.1,98,5.1,201,
2025-02-03T05:00,6.9,95,5.63,202,
2025-02-03T06:00,6.2,92,5.74,200,
2025-02-03T07:00,6.4,93,5.67,196,
2025-02-03T08:00,6.6,92,5.9,191,
2025-02-03T09:00,7.2,91,5.89,190,
2025-02-03T10:00,7.9,89,6.42,198,
2025-02-03T11:00,8.5,88,7.16,200,
2025-02-03T12:00,8.8,87,7.8,201,
2025-02-03T13:00,9,86,7.62,197,
2025-02-03T14:00,8.8,88,7.56,198,
2025-02-03T15:00,8.7,88,7.61,196,
2025-02-03T16:00,8.6,87,8.51,199,
2025-02-03T17:00,8.3,88,8.74,198,
2025-02-03T18:00,8.4,88,8.62,198,
2025-02-03T19:00,8.5,88,8.5,194,
2025-02-03T20:00,8.5,88,8.2,191,
2025-02-03T21:00,8.6,87,8.08,188,
2025-02-03T22:00,8.7,88,8.32,190,
2025-02-03T23:00,8.7,88,8.7,191,
2025-02-04T00:00,8.8,88,8.75,191,
2025-02-04T01:00,8.9,88,9.15,188,
2025-02-04T02:00,8.9,88,9.31,191,
2025-02-04T03:00,8.9,88,9.81,190,
2025-02-04T04:00,8.8,90,9.57,187,
2025-02-04T05:00,8.9,90,9.96,188,
2025-02-04T06:00,8.2,97,9.58,190,
2025-02-04T07:00,8.2,97,9.47,192,
2025-02-04T08:00,8.3,97,9.84,197,
2025-02-04T09:00,8.6,97,10.33,203,
2025-02-04T10:00,8.7,97,10.47,204,
2025-02-04T11:00,8.7,98,8.17,217,
2025-02-04T12:00,8.8,97,6.25,235,
2025-02-04T13:00,8.7,89,6.55,244,
2025-02-04T14:00,8.4,86,6.68,225,
2025-02-04T15:00,8.8,82,7.91,220,
2025-02-04T16:00,7.3,83,8.27,213,
2025-02-04T17:00,7.1,79,7.57,226,
2025-02-04T18:00,7,79,7.19,240,
2025-02-04T19:00,6.4,81,6.45,257,
2025-02-04T20:00,5.5,83,5.47,254,
2025-02-04T21:00,4.9,85,4.79,243,
2025-02-04T22:00,5.1,84,5.24,240,
2025-02-04T23:00,4.8,85,5.37,243,
2025-02-05T00:00,4.5,86,5.35,245,
2025-02-05T01:00,4.4,90,5.04,241,
2025-02-05T02:00,4.3,88,4.92,242,
2025-02-05T03:00,4.1,87,4.52,245,
2025-02-05T04:00,3.7,87,4.33,248,
2025-02-05T05:00,3.4,88,4.24,251,
2025-02-05T06:00,3.2,89,4,252,
2025-02-05T07:00,2.9,91,3.86,253,
2025-02-05T08:00,2.6,91,3.39,261,
2025-02-05T09:00,3,91,3.02,263,
2025-02-05T10:00,4.5,86,2.72,253,
2025-02-05T11:00,6,77,2.4,239,
2025-02-05T12:00,6.9,76,3.03,232,
2025-02-05T13:00,7.8,70,4.27,254,
2025-02-05T14:00,8.1,64,4.28,259,
2025-02-05T15:00,8,65,3.69,257,
2025-02-05T16:00,7.1,72,2.52,256,
2025-02-05T17:00,5.2,80,1.77,254,
2025-02-05T18:00,3.5,86,1.75,246,
2025-02-05T19:00,2.4,90,1.72,244,
2025-02-05T20:00,1.6,93,1.6,256,
2025-02-05T21:00,0.9,95,1.57,261,
2025-02-05T22:00,0.4,96,1.31,277,
2025-02-05T23:00,0,97,1.19,298,
2025-02-06T00:00,-0.5,98,0.85,315,
2025-02-06T01:00,-0.4,97,0.07,45,
2025-02-06T02:00,-0.6,96,0.65,67,
2025-02-06T03:00,-0.5,97,0.51,61,
2025-02-06T04:00,-0.7,98,0.5,37,
2025-02-06T05:00,-0.7,98,0.49,24,
2025-02-06T06:00,-0.5,99,0.73,344,
2025-02-06T07:00,-0.3,98,1.08,326,
2025-02-06T08:00,-0.1,99,0.7,4,
2025-02-06T09:00,0.6,98,1.41,354,
2025-02-06T10:00,1.5,98,1.39,15,
2025-02-06T11:00,2.7,98,1.4,35,
2025-02-06T12:00,4.5,91,1.15,34,
2025-02-06T13:00,5.7,87,1.13,13,
2025-02-06T14:00,6.3,84,0.74,48,
2025-02-06T15:00,6.1,85,0.94,58,
2025-02-06T16:00,4.3,91,0.6,48,
2025-02-06T17:00,2.2,93,0.74,48,
2025-02-06T18:00,1.1,94,1.45,49,
2025-02-06T19:00,0.5,92,1.99,65,
2025-02-06T20:00,0.1,93,2.01,71,
2025-02-06T21:00,-0.3,94,2.03,74,
2025-02-06T22:00,-0.7,94,2.01,76,
2025-02-06T23:00,-0.6,95,2.13,81,
2025-02-07T00:00,-0.7,96,2.01,76,
2025-02-07T01:00,-0.4,96,2.2,73,
2025-02-07T02:00,-0.1,96,2.5,74,
2025-02-07T03:00,0.2,96,2.58,68,
2025-02-07T04:00,0.5,94,2.76,55,
2025-02-07T05:00,0.4,94,3,53,
2025-02-07T06:00,0.5,93,3,57,
2025-02-07T07:00,0.4,93,2.44,47,
2025-02-07T08:00,0.8,94,3.36,46,
2025-02-07T09:00,1.9,94,4.5,48,
2025-02-07T10:00,3.3,92,5.2,52,
2025-02-07T11:00,4.8,87,5.19,58,
2025-02-07T12:00,6,81,5.35,62,
2025-02-07T13:00,6.2,78,6.27,69,
2025-02-07T14:00,6.3,73,5.87,76,
2025-02-07T15:00,5.8,73,5.83,81,
